TextID_D,Date_D,Ruler,Year,Month,Day,Dossier_D,Archive_D,Genre_D,Locus_D,Stratum_D,ExcNum_C,MusAcc_C,Mus_C,TNum,Pnum,TextID_A,TextID_C,TextNum_A
NIPPUR 430,2016,Ishbi-Erra,4,-,-,E-Enlil (IT - Inana Temple Texts),Nippur's Inana Temple,Administrative,,Level 4,5N-T0077,-,IM 059670,-,P105004,-,"BBVO 11 264, 5N-T077",-
NIPPUR 431,2014,Ishbi-Erra,6,12,-,E-Enlil (IT - Inana Temple Texts),Nippur's Inana Temple,Administrative,,Level 4,5N-T0656,-,OIM A30784,-,P105018,-,"BBVO 11 268, 5N-T656",-
NIPPUR 453,2014,Ishbi-Erra,6,12,-,"E-Enlil (Deliveries, bread sa-du)",Nippur's Scribal Quarter (TB),Administrative - Delivery,153,III/1,2N-T0686,-,UM 55-21-130,-,P200667,-,JANES 18 41 01,-
NIPPUR 454,2003,Ishbi-Erra,17,4,-,"E-Enlil (Deliveries, bread sa-du)",Nippur's Scribal Quarter (TB),Administrative - Delivery,153,III/1,2N-T0559,-,OIM A29996,-,P200668,-,JANES 18 41 02,-
NIPPUR 452,1991,Ishbi-Erra,29,12d,-,"E-Enlil (Deliveries, bread sa-du)",Nippur's Scribal Quarter (TB),Administrative - Delivery,153,III/1,2N-T0556,-,UM 55-21-081,-,P200666,-,JANES 18 42 03,-
NIPPUR 420,1988,Ishbi-Erra,32,2, -,"E-Enlil (Order, bread)",Nippur's Scribal Quarter (TB),Administrative,153,III/1,2N-T0569,-,OIM A30006,T22279,P200669,A 30006 = 2NT-569,JANES 18 42 04,Van De Mieroop JANES 18 4
NIPPUR 455,1988,Ishbi-Erra,32,2,-,"E-Enlil (Deliveries, bread sa-du)",Nippur's Scribal Quarter (TB),Administrative - Delivery,153,III/1,2N-T0578,-,OIM A30013,-,P200670,-,JANES 18 43 05,-
NIPPUR 456,1988,Ishbi-Erra,32,5,-,"E-Enlil (Deliveries, bread sa-du)",Nippur's Scribal Quarter (TB),Administrative - Delivery,153,III/1,2N-T0567,-,OIM A30004,-,P200671,-,JANES 18 44 06,-
NIPPUR 457,1988,Ishbi-Erra,32,9,-,"E-Enlil (Deliveries, flour sa-du)",Nippur's Scribal Quarter (TB),Administrative - Donation,153,III/1,2N-T0568,-,OIM A30005,-,P200672,-,JANES 18 44 07,-
NIPPUR 421,1986,Shu-ilishu,1,2, -,"E-Enlil (Order, bread)",Nippur's Scribal Quarter (TB),Administrative,153,III/1,2N-T0555,-,OIM A29993,T22280,P200673,A 29993 = 2NT-555,JANES 18 44 08,Van De Mieroop JANES 18 8
NIPPUR 458,1985,Shu-ilishu,2,11,24,"E-Enlil (Deliveries, bread sa-du)",Nippur's Scribal Quarter (TB),Administrative - Delivery,153,III/1,2N-T0570,-,OIM A30007,-,P200674,-,JANES 18 45 09,-
UR 106,1982,Shu-ilishu,5,10, -,Ganunmah (expenditure),Ur's Ganunmah (TTB),Administrative - expenditure,,,U 21364,-,Penn �,T2490,P466620,U.21364,JCS 28 237 01,Loding JCS 28 1
NIPPUR 460,1981,Shu-ilishu,6,5,-,"E-Enlil (Deliveries, flour sa-du)",Nippur's Scribal Quarter (TB),Administrative - Donation,153,III/1,2N-T0558,-,OIM A29995,-,P200676,-,JANES 18 45 11,-
NIPPUR 459,1981,Shu-ilishu,6,5,11,"E-Enlil (Deliveries, bread sa-du)",Nippur's Scribal Quarter (TB),Administrative - Delivery,153,III/1,2N-T0557,-,OIM A29994,-,P200675,-,JANES 18 45 10,-
NIPPUR 451,1978,Shu-ilishu,9,-,-,"E-Enlil (Account, bread and flour)",Nippur's Scribal Quarter (TB),Administrative,201/203,IV/1,2N-T0668,-,UM 55-21-125,-,P200662,-,BASOR 122 (1951) 047,-
NIPPUR 467,1974,Iddin-Dagan,3,6,-,"E-Enlil (Deliveries, bread sa-du)",Nippur's Scribal Quarter (TB),Administrative - Delivery,153,III/1,2N-T0629,-,UM 55-21-103,-,P200684,-,JANES 18 48 22,-
NIPPUR 173,1967,Iddin-Dagan,A,12, -,"E-Enlil (Deliveries, dates and sweets)",Nippur's Scribal Quarter (TB),Administrative - Donation,196,IV/1,2N-T0628,-,UM 55-21-102,T22261,P200664,UM 55-21-102 = 2NT-628,JANES 18 48 21,Owen JCS 24 UM 24-21-102
NIPPUR 174,1967,Iddin-Dagan,A,6, -,"E-Enlil (Expenditures, bread)",Nippur's Scribal Quarter (TB),Administrative - Delivery,196,IV/1,2N-T0630,-,UM 55-21-104,T22262,P200663,UM 55-21-104 = 2NT-630,JANES 18 48 20,Owen JCS 24 UM 24-21-104
NIPPUR 172,1965,Iddin-Dagan,C,12, -,"E-Enlil (Deliveries, sweets?)",Nippur's Scribal Quarter (TB),Administrative - Donation,196,IV/1,2N-T0627,-,UM 55-21-101,T22263,P200665,UM 55-21-101 = 2NT-627,JANES 18 48 23,Owen JCS 24 UM 24-21-101
NIPPUR 474,1963,Iddin-Dagan,E,-,-,"E-Enlil (Deliveries, animal sa-du)",Nippur's Scribal Quarter (TB),Administrative - Delivery,153,III/1,2N-T0573,-,OIM A30010,-,P200691,-,JANES 18 50 30,-
NIPPUR 471,1963,Iddin-Dagan,E,10,09,"E-Enlil (Deliveries, animal sa-du)",Nippur's Scribal Quarter (TB),Administrative - Delivery,153,III/1,2N-T0563,-,OIM A30000,-,P200688,-,JANES 18 49 27,-
NIPPUR 472,1963,Iddin-Dagan,E,10,22,"E-Enlil (Deliveries, animal sa-du)",Nippur's Scribal Quarter (TB),Administrative - Delivery,153,III/1,2N-T0565,-,OIM A30002,-,P200689,-,JANES 18 50 28,-
NIPPUR 473,1963,Iddin-Dagan,E,10,28,"E-Enlil (Deliveries, animal sa-du)",Nippur's Scribal Quarter (TB),Administrative - Delivery,153,III/1,2N-T0564,-,OIM A30001,-,P200690,-,JANES 18 50 29,-
NIPPUR 475,1962,Iddin-Dagan,F,-,-,"E-Enlil (Deliveries, animal sa-du)",Nippur's Scribal Quarter (TB),Administrative - Delivery,153,III/1,2N-T0566,-,OIM A30003,-,P200692,-,JANES 18 51 31,-
NIPPUR 468,1962,Iddin-Dagan,F,8,12,"E-Enlil (Deliveries, animal sa-du)",Nippur's Scribal Quarter (TB),Administrative - Delivery,153,III/1,2N-T0562,-,OIM A29999,-,P200685,-,JANES 18 48 24,-
NIPPUR 470,1962,Iddin-Dagan,F,9,-,"E-Enlil (Deliveries, animal sa-du)",Nippur's Scribal Quarter (TB),Administrative - Delivery,153,III/1,2N-T0561,-,OIM A29998,-,P200687,-,JANES 18 49 26,-
NIPPUR 469,1962,Iddin-Dagan,F,9,26,"E-Enlil (Deliveries, animal sa-du)",Nippur's Scribal Quarter (TB),Administrative - Delivery,153,III/1,2N-T0560,-,OIM A29997,-,P200686,-,JANES 18 49 25,-
UR 3366,1950,Ishme-Dagan,E,-,-,Ganunmah,Ur's Ganunmah (TTB),unk,Room 32,34,U 00355,-,IM 067670,-,P504353,-,-,-
UR 790,1950,Ishme-Dagan,E,3, -,Ganunmah (Temple deliveries),Ur's Ganunmah (TTB),Administrative - arua,,,U 00165,-,IM 057312,T13082,P415165,IM 57312 = U.165,UET 5 281,UET 5 281
UR 157,1950,Ishme-Dagan,E,7, -,Ganunmah (Temple deliveries),Ur (unprov),Administrative - arua,,,U �,-,IM 090238,T22405,P381889,IM 90238,"Nisaba 12 /1, 18",Nisaba 12 I 18
UR 364,1950,Ishme-Dagan,E,7, -,Ganunmah (Temple deliveries),Ur's Ganunmah (TTB),Administrative - expenditure,,,U �,-,IM 090237,T22648,P448841,IM 90237,Nisaba 19 141,Nisaba 19 141
UR 789,1950,Ishme-Dagan,E,7, -,Ganunmah (Temple deliveries),Ur's Ganunmah (TTB),Administrative - arua,,Z?,U 00360,-,IM 057311,T13081,P415164,IM 57311 = U.360,UET 5 280,UET 5 280
UR 3367,1949,Ishme-Dagan,F,-,-,Ganunmah,Ur's Ganunmah (TTB),unk,Room 32,34,U 00359,-,IM �,-,P504354,-,-,-
UR 788,1949,Ishme-Dagan,F,10, -,Ganunmah (Temple deliveries),Ur's Ganunmah (TTB),Administrative - arua,,Z?,U 00164,-,IM 057310,T13080,P415163,IM 57310 = U.164,UET 5 279,UET 5 279
UR 158,1949,Ishme-Dagan,F,5, -,Ganunmah (Temple deliveries),Ur (unprov),Administrative - arua,,,U �,-,IM 090432,T22406,P381890,IM 90432,"Nisaba 12 /1, 19",Nisaba 12 I 19
UR 787,1949,Ishme-Dagan,F,5, -,Ganunmah (Temple deliveries),Ur's Ganunmah (TTB),Administrative - arua,,Z?,U 00352,-,IM 057309,T13079,P415162,IM 57309 = U.352,UET 5 278,UET 5 278
NIPPUR 11158,1948,Ishme-Dagan,G,-,-,"E-Enlil (Ku-Nanna, House F)",Nippur's Scribal Quarter (TB),Administrative,206,IV/1,2N-T0652,-,OIM A30038,-,P504261,-,-,-
UR 386,1948,Ishme-Dagan,G,-,-,Legal (witnessse),Ur (unprov),Legal - Witnesses,,,U �,-,IM 090196,T22670,P448862,IM 90196,Nisaba 19 168,Nisaba 19 168
UR 365,1942,Ishme-Dagan,M,11, -,Ganunmah (Temple deliveries),Ur's Ganunmah (TTB),Administrative - expenditure,,,U �,-,IM 090239,T22649,P448842,IM 90239,Nisaba 19 142,Nisaba 19 142
UR 107,1939,Ishme-Dagan,P,8, -,Ganunmah (expenditure),Ur's Ganunmah (TTB),Administrative - Delivery,,,U 00972,-,Penn �,T2499,P466536,U.972,JCS 28 238 02,Loding JCS 28 2
UR 506,1935,Lipit-I�tar,A,9, -,Ganunmah (E-Kishib),Ur's Ganunmah (TTB),Administrative - Donation,Room 34,Below KM Wall,-,-,-,T25014,N/A,U.2548,-,"Loding M�l. Sj�berg, p. 367+369"
UR 21,1934,Lipit-I�tar,B,7, -,Ganunmah (expenditure),Ur's Ganunmah (TTB),Administrative - Delivery,Room 34,Below KM Wall,U 02596,-,Penn �,T24978,P462156,U.2596,UET 1 222,In�dit
UR 27,1934,Lipit-I�tar,B,9, -,Ganunmah,Ur's Ganunmah (TTB),Administrative - Delivery,Room 34,Below KM Wall,U 02680,-,Penn �,T24984,P466549,U.2680,-,In�dit
UR 1286,1932,Lipit-I�tar,D,6, -,Giparu (Ku-lugalbanda),Ur's Giparu (KP),Administrative - Delivery,C/26,H-J 2-3,U �,"1953-04-11, 0237",BM 131402,T12827,P415648,"BM 131402 = 1953-04-11, 237",UET 5 778,UET 5 778
UR 12,1931,Lipit-I�tar,E,1, -,Ganunmah (expenditure),Ur's Ganunmah (TTB),Administrative - Delivery,Room 34,Below KM Wall,U 02647,-,Penn �,T24969,P462158,U.2647,UET 1 224,In�dit
UR 108,1929,Lipit-I�tar,G,-, -,Ganunmah (accounting),Ur's Ganunmah (TTB),Administrative - Delivery,Room 34,Below KM Wall,U 02589,-,Penn �,T2502,P466540,U.2589,JCS 28 238 03,Loding JCS 28 3
UR 109,1929,Lipit-I�tar,G,10, -,Ganunmah (expenditure),Ur's Ganunmah (TTB),Administrative - Allotment,Room 34,Below KM Wall,U 02712,-,Penn �,T2505,P466557,U.2712,JCS 28 239 04,Loding JCS 28 4
UR 1125,1927,Gungunum,6,5, -,Ganunmah (E-Kishib),Ur (unprov),Administrative - Allotment,,,U �,"1953-04-11, 0204",BM 131369,T12676,P415489,"BM 131369 = 1953-04-11, 204",UET 5 617,UET 5 617
UR 112,1926,Gungunum,7,4, -,Ganunmah (expenditure),Ur's Ganunmah (TTB),Administrative - Delivery,Room 34,Below KM Wall,U 02588,-,Penn �,T2517,P466539,U.2588,JCS 28 240 07,Loding JCS 28 7
UR 113,1926,Gungunum,7,7, -,Ganunmah (expenditure),Ur's Ganunmah (TTB),Administrative - Allotment,Room 34,Below KM Wall,U 02681,-,Penn �,T2519,P466550,U.2681,JCS 28 240 08,Loding JCS 28 8
UR 13,1926,Gungunum,7,8, -,Ganunmah (E-Kishib),Ur's Ganunmah (TTB),Administrative - Delivery,Room 34,Below KM Wall,-,-,-,T24970,N/A,U.2586,-,In�dit
UR 1251,1926,Gungunum,7,9, -,Ganunmah (expenditure),Ur's Ganunmah (TTB),Administrative - Delivery,Room 14,20,U 00318,"1953-04-11, 0234",BM 131399,T12799,P415613,"BM 131399 = 1953-04-11, 234 = U.318",UET 5 743,UET 5 743
NIPPUR 8168,1925,Ur-Ninurta,A,12,-,TB - House C?: Sag-Enlil?,Nippur (Penn excavations),Legal - Loan (Silver),,,-,-,Ist Ni 00009,-,P283594,-,ARN 001,-
UR 14,1925,Gungunum,8,2, -,Ganunmah (expenditure),Ur's Ganunmah (TTB),Administrative - Delivery,Room 34,Below KM Wall,-,-,-,T24971,N/A,U.2581,-,In�dit
NIPPUR 8358,1923,Ur-Ninurta,B,10,-,TB - House C?: Sag-Enlil?,Nippur (Penn excavations),Legal - Loan (Barley),,,-,-,Ist Ni 01514,-,P313126,-,ARN 002,-
UR 610,1923,Gungunum,10,12, -,Church Lane 1: legal (inheritance),"Ur's Neighborhood (AH), Church Lane 1","Legal - Inheritance, Land",,,U 16576,-,IM 057222,T12123,P415002,IM 57222 = U.16576,UET 5 100,UET 5 100
UR 1395,1923,Gungunum,10,2, 2,Legal (loan),Ur (unprov),Legal - loan (trade),,,-,-,YBC 05447,T24413,P306518,YBC 5447,AS 16 199-209,"Hallo M�l. Landsberger, p. 200-201"
UR 778,1923,Gungunum,10,9, -,Church Lane 1: legal (inheritance),"Ur's Neighborhood (AH), Church Lane 1","Legal - Inheritance, Land",,,U 16586,"1953-04-11, 0119",BM 131284,T12294,P415154,"BM 131284 = 1953-04-11, 119 = U.16586",UET 5 269,UET 5 269
UR 1033,1920,Gungunum,13,-, -,Giparu (arua),Ur (unprov),Administrative - arua,,,-,-,IM 057437,T12587,P415399,IM 57437,UET 5 524,UET 5 524
UR 22,1920,Gungunum,13,4, -,Ganunmah (E-Kishib),Ur's Ganunmah (TTB),Administrative - Delivery,Room 34,Below KM Wall,-,-,-,T24979,N/A,U.2697,-,In�dit
UR 1026,1920,Gungunum,13,5, -,Ganunmah (expenditure),Ur (unprov),Administrative - Delivery,,,-,-,IM 057433,T12581,P415392,IM 57433,UET 5 517,UET 5 517
UR 792,1920,Gungunum,13,5, -,Giparu (arua),Ur (unprov),Administrative - arua,,,-,-,IM 057314,T13084,P415167,IM 57314,UET 5 283,UET 5 283
UR 1102,1920,Gungunum,13,6, -,Ganunmah (E-Kishib),Ur's Ganunmah (TTB),Administrative - Allotment,Room 5,Underneath pavement,U 08811b,-,IM 057469,T12655,P415468,IM 57469 = U.8811b,UET 5 594,UET 5 594
UR 791,1920,Gungunum,13,8, -,Giparu (arua),Ur (unprov),Administrative - arua,,,-,-,IM 057313,T13083,P415166,IM 57313,UET 5 282,UET 5 282
NIPPUR 118,1919,Ur-Ninurta,F,5, -,TB? House C?,Nippur (Belletin 23),Administrative - Delivery,,,-,-,Ist Ni 13211,T4734,P500490,Ni. 13211,Belleten 26 043 13211,�ig & Kizilyay Belleten 26 4
UR 2802,1919,Gungunum,14,11,-,Ganunmah,Ur's Ganunmah (TTB),Administrative,Room 34,ES,U 02682,-,unknown,-,P423443,-,UET 1 229,-
UR 18,1919,Gungunum,14,12, -,Ganunmah (expenditure),Ur's Ganunmah (TTB),Administrative - Delivery,Room 34,Below KM Wall,U 02582,-,Penn �,T24975,P466538,U.2582,-,In�dit
UR 15,1919,Gungunum,14,3, -,Ganunmah (E-Kishib),Ur's Ganunmah (TTB),Administrative - Delivery,Room 34,Below KM Wall,-,-,-,T24972,N/A,U.2587,-,In�dit
UR 24,1919,Gungunum,14,3, -,Ganunmah (E-Kishib),Ur's Ganunmah (TTB),Administrative - Delivery,Room 34,Below KM Wall,U 02629,-,Penn �,T24981,P466547,U.2629,-,In�dit
UR 110,1919,Gungunum,14,4, -,Ganunmah (expenditure),Ur's Ganunmah (TTB),Administrative - Allotment,Room 34,Below KM Wall,U 02686,-,Penn �,T2511,P466551,U.2686,JCS 28 239 05,Loding JCS 28 5
UR 114,1919,Gungunum,14,5, -,Ganunmah (E-Kishib),Ur's Ganunmah (TTB),Administrative - Allotment,Room 34,Below KM Wall,U 02690,-,Penn �,T2535,P466553,U.2690,JCS 28 241 09,Loding JCS 28 9
UR 16,1919,Gungunum,14,6, -,Ganunmah (expenditure),Ur's Ganunmah (TTB),Administrative - Delivery,Room 34,Below KM Wall,-,-,-,T24973,N/A,U.2687,-,In�dit
UR 17,1919,Gungunum,14,7, -,Ganunmah (expenditure),Ur's Ganunmah (TTB),Administrative - Delivery,Room 34,Below KM Wall,-,-,-,T24974,N/A,U.2688,-,In�dit
UR 28,1919,Gungunum,14,7, -,Ganunmah (expenditure),Ur's Ganunmah (TTB),Administrative - expenditure,Room 34,Below KM Wall,U 02601,-,Penn �,T24985,P466542,U.2601,-,In�dit
NIPPUR 219,1918,Ur-Ninurta,G,3, 10,TB - House C?: Sag-Enlil,Nippur (Hilprecht),Legal - Inheritance,,,-,-,HS 2084,T23267,P503166,HS 2084,TMH 10 12,TMH 10 12
UR 19,1918,Gungunum,15,1, -,Ganunmah (expenditure),Ur's Ganunmah (TTB),Administrative - Delivery,Room 34,Below KM Wall,U 02584,-,-,T24976,P467985,U.2584,UET 1 230,In�dit
UR 11,1918,Gungunum,15,2, 30,"Ganunmah (deliveries, dairy)",Ur's Ganunmah (TTB),Administrative - Delivery,Room 34,Below KM Wall,U 02593,-,Penn �,T24967,P466541,U.2593,-,In�dit
UR 3291,1917,Gungunum,16,1,1,Administrative (wool),Ur (unprov),Administrative,,,-,"1919-10-11, 0150",BM 114060,-,P469343,-,-,-
NIPPUR 3814,1916,Ur-Ninurta,I,7,-,TB - House B?: Warad-Enlil,Nippur (Penn excavations),Legal - Inheritance,,,-,-,UM 29-15-383,-,P256191,-,"OB Contracts, pl. A1 no. 1",-
UR 1241,1914,Gungunum,19,12-bis, -,Mausoleum: Nanna's silo,Ur's Mausoleum (BC),Administrative - Donation,,Underneath pavement,U 17246q,-,IM 057538,T12790,P415603,IM 57538 = U.17246Q,UET 5 733,UET 5 733
UR 773,1911,Gungunum,22,2, -,Church Lane 13: Ilum-nasir,Ur (unprov),Legal - Proceedings,,,U �,"1953-04-11, 0114",BM 131279,T13069,P415149,"BM 131279 = 1953-04-11, 114",UET 5 264,UET 5 264
UR 1171,1910,-,-,-, -,Administrative (baskets),ADDED TO 1!,Administrative,,,U 15675,-,UM 52-30-224,T12721,P415535,UM 52-30-224 = U.15675,UET 5 663,UET 5 663
NIPPUR 6089,1909,Ur-Ninurta,P,3,-,TB - House B?: Nin-me-dugga?,Nippur (Post-Penn),Administrative - Donation,,,-,-,N 0406,-,P275618,-,-,-
UR 116,1909,Gungunum,24,10, -,Giparu (silver),Ur (unprov),Administrative - Pay List,,,U 07151,-,Penn �,T2541,P466600,U.7151,JCS 28 242 11,Loding JCS 28 11
UR 611,1909,Gungunum,24,11, -,Aha-nirshi ,Ur (unprov),"Legal - Inheritance, Land",,,-,-,IM 057223,T12124,P415003,IM 57223,UET 5 101,UET 5 101
UR 1055,1908,Gungunum,25,12, -,Giparu (Ningal Tithe),Ur (unprov),Administrative - Dilmun tax,,,U 00481,-,IM 057453,T12608,P415421,IM 57453 = U.481,UET 5 546,UET 5 546
UR 1242,1908,Gungunum,25,4, -,Giparu (Ku-lugalbanda),Ur's Giparu (KP),Administrative - Delivery,C/26,H-J 2-3,U 06383,-,IM 057539,T12791,P415604,IM 57539 = U.6383,UET 5 734,UET 5 734
UR 793,1908,Gungunum,25,7, -,Giparu (arua),Ur (unprov),Administrative - arua,,,-,-,IM 057315,T13085,P415168,IM 57315,UET 5 284,UET 5 284
UR 1126,1907,Gungunum,26,11, -,Giparu (abku),Ur (unprov),Administrative - Delivery,,,-,-,IM 057481,T12677,P415490,IM 57481,UET 5 618,UET 5 618
UR 1110,1907,Gungunum,26,8, -,"Ganunmah (delivery, dairy)",Ur (unprov),Administrative - Delivery,,,-,-,IM 057473,T12663,P415476,IM 57473,UET 5 602,UET 5 602
UR 1127,1906,Gungunum,27,12, -,Giparu (abku),Ur (unprov),Administrative - Delivery,,,-,-,IM 057482,T12678,P415491,IM 57482,UET 5 619,UET 5 619
UR 1284,1906,Gungunum,27,3, -,Giparu (Ku-lugalbanda),Ur's Giparu (KP),Administrative - Delivery,C/26,H-J 2-3,U �,"1953-04-11, 0235",BM 131400,T12825,P415646,"BM 131400 = 1953-04-11, 235",UET 5 776,UET 5 776
UR 1140,1906,Gungunum,27,5, -,Giparu (abku),Ur (unprov),Administrative - Delivery,,,U �,-,UM 52-30-216,T12313,P415504,UM 52-30-216,UET 5 632,UET 5 632
UR 123,1905,Abi-sare,1,-, -,Administrative (E-kishib-ba),Ur (unprov),Administrative,,,-,-,-,T24906,N/A,U.30572,-,Nisaba 5 I 553
UR 1056,1905,Abi-sare,1,10, -,Giparu (arua),Ur (unprov),Administrative - arua,,,-,-,IM 057454,T12609,P415422,IM 57454,UET 5 547,UET 5 547
UR 1077,1905,-,-,-, -,Giparu (satukku produce),Ur (unprov),Administrative,,,-,-,IM 057459,T12630,P415443,IM 57459,UET 5 568,UET 5 568
UR 1244,1904,Abi-sare,2,11, -,Ganunmah (expenditure),Ur's Ganunmah (TTB),Administrative - Delivery,Room 14,26,U 00383,-,IM 057541,T22598,P415606,IM 57541 = U.383,UET 5 736,UET 5 736
UR 201,1904,Abi-sare,2,11, -,Giparu (abku),Ur (unprov),Administrative - Delivery,,,U 31358,-,BM �,T22456,P381933,U.31358,"Nisaba 12 /2, 24 = 19, 250",Nisaba 12 II 24
UR 1384,1904,Abi-sare,2,3, -,Administrative (clothing),Ur (unprov),Administrative - Delivery,,,-,-,IM 057607,T12938,P415735,IM 57607,UET 5 876,UET 5 876
UR 1243,1904,Abi-sare,2,8, -,Giparu (Ku-lugalbanda),Ur's Giparu (KP),Administrative - Delivery,C/26,H-J 2-3,-,-,IM 057540,T12792,P415605,IM 57540,UET 5 735,UET 5 735
UR 1385,1903,Abi-sare,3,1, -,Ganunmah (Temple deliveries),Ur's Ganunmah (TTB),Administrative - Delivery,,25,U 00435a,-,UM 52-30-277,T12939,P415736,UM 52-30-277 = U.435a,UET 5 877,UET 5 877
UR 794,1903,Abi-sare,3,11, -,Giparu (arua),Ur (unprov),Administrative - arua,,,U �,-,UM 52-30-128,T13086,P415169,UM 52-30-128,UET 5 285,UET 5 285
UR 1128,1903,Abi-sare,3,2, -,Ganunmah (Temple deliveries),Ur (unprov),Administrative - Delivery,,,-,-,IM 057483,T12679,P415492,IM 57483,UET 5 620,UET 5 620
UR 412,1903,Abi-sare,3,2, -,"Giparu (Ningal Tithe, miksu)",Ur (unprov),Administrative - Miksu tax,,,U �,-,IM 090331,T22688,P448899,IM 90331,Nisaba 19 209,Nisaba 19 209
UR 1245,1903,Abi-sare,3,4, -,Giparu (Ku-lugalbanda),Ur's Giparu (KP),Administrative - Delivery,C/26,H-J 2-3,-,-,IM 057542,T12793,P415607,IM 57542,UET 5 737,UET 5 737
UR 642,1903,Abi-sare,3,9, -,Church Lane 13: Ilum-nasir,Ur's Royal Cemetery (PG1932) / Church Lane 13,Legal - Sale (House),,House 30?,U 17847a,-,IM 057238,T12982,P415027,IM 57238 = U.17847A,UET 5 131,UET 5 131
UR 1246,1902,Abi-sare,4,1, 21,Giparu (Ku-lugalbanda),Ur's Giparu (KP),Administrative - Delivery,C/26,H-J 2-3,-,-,IM 057543,T12794,P415608,IM 57543,UET 5 738,UET 5 738
UR 796,1902,Abi-sare,4,10, -,Giparu (arua),Ur (unprov),Administrative - arua,,,U �,-,UM 52-30-130,T13088,P415171,UM 52-30-130,UET 5 287,UET 5 287
UR 612,1902,Abi-sare,4,12, -,Ganunmah (orchard pledge?),Ur's Ganunmah (TTB),Legal - Land,9,,U 00400,-,IM 057224,T12125,P415004,IM 57224 = U.400,UET 5 102,UET 5 102
UR 795,1902,Abi-sare,4,12, -,Giparu (Ningal Tithe),Ur (unprov),Administrative - arua,,,U �,-,UM 52-30-129,T13087,P415170,UM 52-30-129,UET 5 286,UET 5 286
UR 1035,1902,Abi-sare,4,3, -,Giparu (Ningal Tithe),Ur (unprov),Administrative - Dilmun tax,,,-,-,IM 057439,T12589,P415401,IM 57439,UET 5 526,UET 5 526
UR 1386,1902,-,-,-, -,Ganunmah,Ur (unprov),Administrative,,,U �,"1953-04-11, 0272",BM 131437,T12940,P415737,"BM 131437 = 1953-04-11, 272",UET 5 878,UET 5 878
UR 1247,1901,Abi-sare,5,10, -,Giparu (Ku-lugalbanda),Ur's Giparu (KP),Administrative - Delivery,C/26,H-J 2-3,-,-,IM 057544,T12795,P415609,IM 57544,UET 5 739,UET 5 739
UR 797,1901,Abi-sare,5,8, -,Giparu (arua),Ur (unprov),Administrative - arua,,,U �,-,UM 52-30-131,T13089,P415172,UM 52-30-131,UET 5 288,UET 5 288
UR 1248,1900,Abi-sare,6,12, -,Giparu (Ku-lugalbanda),Ur's Giparu (KP),Administrative - Delivery,C/26,H-J 2-3,-,-,IM 057545,T12796,P415610,IM 57545,UET 5 740,UET 5 740
UR 1059,1900,Abi-sare,6,2, -,Giparu (Ningal Tithe),Ur (unprov),Administrative - arua,,,U �,-,UM 52-30-197,T12612,P415425,UM 52-30-197,UET 5 550,UET 5 550
UR 182,1900,Abi-sare,6,4, -,Administrative (dairy),Ur (unprov),Administrative - Delivery,,,U �,-,IM 090227,T22434,P381914,IM 90227,"Nisaba 12 /2, 05",Nisaba 12 II 5
UR 1359,1899,Abi-sare,7,12, -,Giparu (abku),Ur (unprov),Administrative - Delivery,,,-,-,IM 057596,T12915,P415721,IM 57596,UET 5 851,UET 5 851
UR 221,1899,Abi-sare,7,5, -,Giparu (Ku-lugalbanda),Ur (unprov),Administrative - Delivery,,,U 31339,-,BM �,T22480,P381953,U.31339,"Nisaba 12 /3, 06 = 19, 256",Nisaba 12 III 6
UR 1188,1899,Abi-sare,7,9, -,Ganunmah (arrears),Ur's Ganunmah (TTB),Administrative - balance account,,Z?,U 00349,-,IM 057512,T12737,P415552,IM 57512 = U.349,UET 5 680,UET 5 680
UR 366,1899,Abi-sare,7,9, -,Ganunmah (silver),Ur (unprov),Administrative - Donation,,,U �,-,IM 090229,T22650,P448843,IM 90373,Nisaba 19 143,Nisaba 19 143
UR 834,1899,Abi-sare,7,9, -,Legal (loan),Ur (unprov),Legal - Loan (Silver),,,-,-,IM 057332,T12341,P415207,IM 57332,UET 5 325,UET 5 325
UR 1014,1899,-,-,-, -,"Administrative (expenditures, E-kishiba)",ADDED TO 1!,Administrative,,,-,-,IM 057423,T12570,P415380,IM 57423,UET 5 505,UET 5 505
UR 1240,1898,Abi-sare,8,10, -,Giparu (Ku-lugalbanda),Ur (unprov),Administrative - Donation,,,U �,"1953-04-11, 0233",BM 131398,T12789,P415602,"BM 131398 = 1953-04-11, 233",UET 5 732,UET 5 732
UR 1034,1898,Abi-sare,8,6, -,Ganunmah (rent payment),Ur's Ganunmah (TTB),Administrative - Delivery,,20,U 00342,-,IM 057438,T12588,P415400,IM 57438 = U.342,UET 5 525,UET 5 525
UR 140,1898,Abi-sare,8,9, -,Giparu (Ningal Tithe),Ur (unprov),Administrative - arua,,,U 31490,-,BM �,T22389,P381872,U.31490,"Nisaba 12 /1, 01",Nisaba 12 I 1
UR 161,1897,Abi-sare,9,-, -,Giparu (arua),Ur (unprov),Administrative - arua,,,U 31484,-,BM �,T22409,P381893,U.31484,"Nisaba 12 /1, 22",Nisaba 12 I 22
UR 1295,1897,Abi-sare,9,2, -,Giparu (Ku-lugalbanda),Ur's Giparu (KP),Administrative - Delivery,C/26,H-J 2-3,U �,"1953-04-11, 0246",BM 131411,T12834,P415657,"BM 131411 = 1953-04-11, 246",UET 5 787,UET 5 787
